DATE_OF_DEATH,Confirmed,Probable,INCOMPLETE,baseline,Combined
03/11/2020,1,0,null,0,1
03/12/2020,0,0,null,0,0
03/13/2020,0,0,null,0,0
03/14/2020,2,1,null,0,3
03/15/2020,5,0,null,0,5
03/16/2020,8,1,null,0,9
03/17/2020,8,3,null,0,11
03/18/2020,21,4,null,0,25
03/19/2020,24,2,null,0,26
03/20/2020,47,3,null,0,50
03/21/2020,44,6,null,0,50
03/22/2020,50,3,null,0,53
03/23/2020,82,13,null,0,95
03/24/2020,95,12,null,0,107
03/25/2020,123,19,null,0,142
03/26/2020,190,41,null,0,231
03/27/2020,218,40,null,0,258
03/28/2020,274,51,null,0,325
03/29/2020,292,63,null,0,355
03/30/2020,325,85,null,0,410
03/31/2020,385,84,null,0,469
04/01/2020,447,101,null,0,548
04/02/2020,498,165,null,0,663
04/03/2020,499,167,null,0,666
04/04/2020,511,186,null,0,697
04/05/2020,580,174,null,0,754
04/06/2020,575,224,null,0,799
04/07/2020,597,215,null,0,812
04/08/2020,569,199,null,0,768
04/09/2020,560,191,null,0,751
04/10/2020,540,178,null,0,718
04/11/2020,543,170,null,0,713
04/12/2020,572,175,null,0,747
04/13/2020,571,184,null,0,755
04/14/2020,510,141,null,0,651
04/15/2020,455,105,null,0,560
04/16/2020,414,137,null,0,551
04/17/2020,385,93,null,0,478
04/18/2020,390,114,null,0,504
04/19/2020,400,88,null,0,488
04/20/2020,364,94,null,0,458
04/21/2020,324,92,null,0,416
04/22/2020,313,80,null,0,393
04/23/2020,332,79,null,0,411
04/24/2020,316,57,null,0,373
04/25/2020,266,52,null,0,318
04/26/2020,246,53,null,0,299
04/27/2020,271,46,null,0,317
04/28/2020,228,30,null,0,258
04/29/2020,240,35,null,0,275
04/30/2020,224,29,null,0,253
05/01/2020,210,37,null,0,247
05/02/2020,192,31,null,0,223
05/03/2020,178,28,null,0,206
05/04/2020,159,35,null,0,194
05/05/2020,151,16,null,0,167
05/06/2020,150,28,null,0,178
05/07/2020,141,17,null,0,158
05/08/2020,131,22,null,0,153
05/09/2020,100,9,null,0,109
05/10/2020,103,12,null,0,115
05/11/2020,103,14,null,0,117
05/12/2020,91,12,null,0,103
05/13/2020,83,8,null,0,91
05/14/2020,70,17,null,0,87
05/15/2020,86,12,null,0,98
05/16/2020,83,18,null,0,101
05/17/2020,77,10,null,0,87
05/18/2020,58,8,null,0,66
05/19/2020,54,9,null,0,63
05/20/2020,81,5,null,0,86
05/21/2020,45,7,null,0,52
05/22/2020,65,12,null,0,77
05/23/2020,60,3,null,0,63
05/24/2020,49,4,null,0,53
05/25/2020,49,5,null,0,54
05/26/2020,37,5,null,0,42
05/27/2020,49,3,null,0,52
05/28/2020,38,4,null,0,42
05/29/2020,43,8,null,0,51
05/30/2020,54,4,null,0,58
05/31/2020,39,4,null,0,43
06/01/2020,34,5,null,0,39
06/02/2020,38,6,null,0,44
06/03/2020,43,3,null,0,46
06/04/2020,33,5,null,0,38
06/05/2020,28,3,null,0,31
06/06/2020,35,2,null,0,37
06/07/2020,25,4,null,0,29
06/08/2020,41,6,null,0,47
06/09/2020,33,3,null,0,36
06/10/2020,32,6,null,0,38
06/11/2020,21,5,null,0,26
06/12/2020,23,3,null,0,26
06/13/2020,14,2,null,0,16
06/14/2020,24,0,null,0,24
06/15/2020,20,0,null,0,20